tolerance,model,precision peptides,recall peptides,f1 peptides,precision propeptides,recall propeptides,f1 propeptides,precision all,recall all,f1 all
0,../hyperparam_runs_esm2_650_balanced_33/0/1/3,0.6241956241956242,0.36275243081525804,0.45884578997161785,0.3560311284046693,0.2608695652173913,0.3011106540518305,0.4966139954853273,0.3255641879393267,0.39329608938547483
0,../hyperparam_runs_esm2_650_balanced_33/0/1/4,0.46651785714285715,0.3210445468509985,0.38034576888080074,0.3655378486055777,0.2615823235923022,0.30494391358537604,0.4379989356040447,0.3059479553903346,0.3602538848763406
0,../hyperparam_runs_onehot/0/15/1,0.4104803493449782,0.12319790301441677,0.18951612903225806,0.20543478260869566,0.1347113328581611,0.16272061988807576,0.2986822840409956,0.14427157001414428,0.1945636623748212
0,../hyperparam_runs_onehot/0/15/2,0.30511463844797176,0.11610738255033556,0.16820612542537677,0.2763337893296854,0.14397719173200285,0.1893158388003749,0.3076923076923077,0.13841314225795176,0.1909353905496625
0,../hyperparam_runs_onehot/0/15/3,0.49066666666666664,0.12026143790849673,0.19317585301837273,0.22407407407407406,0.08575478384124734,0.12403895438236802,0.34863387978142074,0.11,0.1672346002621232
0,../hyperparam_runs_onehot/0/15/4,0.35128518971848227,0.2025405786873677,0.25693822739480754,0.15702479338842976,0.1083392729864576,0.1282159426402362,0.2577377602701182,0.16838235294117648,0.2036913497887481
1,../hyperparam_runs_esm1b_balanced/0/2/1,0.6078947368421053,0.3545663852647736,0.4478914202617547,0.5005464480874317,0.3264433357091946,0.39516824849007764,0.5857314148681055,0.3621200889547813,0.44754924415941366
1,../hyperparam_runs_esm1b_balanced/0/2/2,0.6413570274636511,0.2947290274684484,0.4038657171922686,0.5027027027027027,0.33143264433357095,0.39948453608247425,0.5881587508132726,0.3333333333333333,0.42551188514944693
1,../hyperparam_runs_esm1b_balanced/0/2/3,0.6134259259259259,0.4080061585835258,0.4900601017105871,0.5687732342007435,0.3271560940841055,0.4153846153846154,0.6234866828087167,0.38361266294227186,0.47498270694028133
1,../hyperparam_runs_esm1b_balanced/0/2/4,0.580387685290764,0.39274691358024694,0.46847676023930057,0.41407528641571195,0.36065573770491804,0.38552380952380955,0.5055208833413346,0.3952702702702703,0.4436486201811671
1,../hyperparam_runs_esm1b_balanced_33/0/4/1,0.5444015444015444,0.3206974981046247,0.4036259541984733,0.40775988286969256,0.3970064148253742,0.4023113037197545,0.47002854424357754,0.36755952380952384,0.4125260960334029
1,../hyperparam_runs_esm1b_balanced_33/0/4/2,0.5691056910569106,0.3723404255319149,0.45016077170418,0.4219554030874786,0.35067712045616534,0.3830284157259634,0.4987518721917124,0.37331838565022424,0.4270143192989955
1,../hyperparam_runs_esm1b_balanced_33/0/4/3,0.5944309927360775,0.36076414401175605,0.4490169181527206,0.4410480349344978,0.35994297933000713,0.3963893249607535,0.5458715596330275,0.4070695553021665,0.4663618549967341
1,../hyperparam_runs_esm1b_balanced_33/0/4/4,0.5091116173120729,0.3446414803392444,0.4110344827586207,0.5918918918918918,0.3121881682109765,0.4087727484834345,0.58375,0.34695393759286774,0.43522833178005593
1,../hyperparam_runs_esm2_650_balanced_32/0/4/1,0.5491251682368775,0.3067669172932331,0.3936324167872648,0.4704016913319239,0.3171774768353528,0.378884631758195,0.5317745803357314,0.32998511904761907,0.40725436179981633
1,../hyperparam_runs_esm2_650_balanced_32/0/4/2,0.5294117647058824,0.4141965678627145,0.4647702407002189,0.46227233304423243,0.3799002138275125,0.41705790297339596,0.5233821445441663,0.4170116672939405,0.46418098031001265
1,../hyperparam_runs_esm2_650_balanced_32/0/4/3,0.6355611601513241,0.37527922561429633,0.47191011235955055,0.45650301464254955,0.37776193870277974,0.41341653666146644,0.5686884396060135,0.4047970479704797,0.472946755766329
1,../hyperparam_runs_esm2_650_balanced_32/0/4/4,0.539447731755424,0.4185156847742923,0.47134855665661346,0.37925925925925924,0.3649322879543835,0.371957864148202,0.46733888645330995,0.40105342362678703,0.43166632921644055
1,../hyperparam_runs_esm2_650_balanced_33/0/1/1,0.5368421052631579,0.3482549317147193,0.422457432121491,0.46974358974358976,0.3264433357091946,0.38519764507989906,0.5317982456140351,0.3603268945022288,0.4295837023914969
1,../hyperparam_runs_esm2_650_balanced_33/0/1/2,0.6222493887530562,0.3815592203898051,0.4730483271375465,0.5455407969639469,0.4098360655737705,0.468050468050468,0.5981511691136487,0.4066543438077634,0.48415492957746475
1,../hyperparam_runs_esm2_650_balanced_33/0/1/3,0.6974025974025974,0.4016454749439043,0.5097294731846227,0.5102239532619279,0.3734853884533143,0.4312757201646091,0.619534355479841,0.40362560118386975,0.48879928315412186
1,../hyperparam_runs_esm2_650_balanced_33/0/1/4,0.5790067720090294,0.39400921658986177,0.46892138939670935,0.5239520958083832,0.3741981468282252,0.4365904365904366,0.5819451907576572,0.4026022304832714,0.4759393539881345
1,../hyperparam_runs_onehot/0/15/1,0.4585152838427948,0.13761467889908258,0.21169354838709678,0.34494015233949943,0.22594440484675696,0.2730404823428079,0.4098966026587888,0.19625176803394626,0.2654232424677188
1,../hyperparam_runs_onehot/0/15/2,0.36684303350970016,0.1395973154362416,0.20223626640738943,0.42818057455540354,0.22309337134711332,0.2933458294283036,0.400974025974026,0.17266689968542467,0.24138773515758613
